first_year,mobility_window,n_researcher,n_mobile,r_n_mobile,prop_research,prop_mobile
2023,1,1457214,6377,6377,0.004376159,1
2009,9,579483,52476,2521,0.00435043,0.048041009
2011,9,706257,57416,2912,0.004123145,0.05071757
2016,8,934912,57589,3778,0.004041022,0.065602806
2002,10,332396,35261,1329,0.003998243,0.037690366
2010,9,641659,54592,2542,0.003961606,0.046563599
2012,9,748658,59044,2924,0.003905655,0.04952239
2005,10,435076,43559,1697,0.003900468,0.038958654
2001,10,313686,32808,1213,0.003866924,0.03697269
2003,10,360019,37860,1392,0.003866463,0.036767036
2000,10,296448,31039,1131,0.003815172,0.03643803
2004,10,405023,40941,1543,0.00380966,0.037688381
2007,10,504533,47861,1888,0.003742074,0.039447567
2006,10,483322,47148,1769,0.003660086,0.037520149
2013,9,814658,60176,2947,0.003617469,0.048973012
2014,9,868276,60608,3073,0.003539197,0.050702878
2003,11,360019,37860,1229,0.003413709,0.032461701
2010,10,641659,54592,2178,0.003394326,0.039895955
2000,11,296448,31039,1003,0.003383393,0.032314185
2009,10,579483,52476,1958,0.003378874,0.037312295
2008,10,538841,49784,1771,0.003286684,0.035573678
2006,11,483322,47148,1568,0.003244214,0.033256978
2001,11,313686,32808,1017,0.003242096,0.030998537
2002,11,332396,35261,1068,0.003213035,0.030288421
2011,10,706257,57416,2257,0.003195721,0.0393096
2004,11,405023,40941,1294,0.00319488,0.031606458
2005,11,435076,43559,1365,0.003137383,0.031336808
2015,9,893195,58812,2772,0.003103466,0.047133238
2000,12,296448,31039,872,0.002941494,0.028093689
2009,11,579483,52476,1688,0.002912941,0.032167086
2012,10,748658,59044,2172,0.002901191,0.036786126
2002,12,332396,35261,951,0.002861045,0.026970307
2007,11,504533,47861,1427,0.002828358,0.029815507
2008,11,538841,49784,1499,0.002781897,0.030110076
2003,12,360019,37860,995,0.002763743,0.026281035
2013,10,814658,60176,2233,0.002741028,0.037107817
2001,12,313686,32808,848,0.00270334,0.025847354
2010,11,641659,54592,1700,0.002649382,0.031140094
2004,12,405023,40941,1060,0.002617135,0.025890916
2005,12,435076,43559,1123,0.002581158,0.025781124
2014,10,868276,60608,2156,0.002483081,0.035572862
2002,13,332396,35261,825,0.002481979,0.023396954
2003,13,360019,37860,889,0.002469314,0.023481247
2008,12,538841,49784,1299,0.00241073,0.026092721
2006,12,483322,47148,1163,0.002406263,0.024667006
2001,13,313686,32808,751,0.002394114,0.022890758
2000,13,296448,31039,708,0.002388277,0.022810013
2012,11,748658,59044,1760,0.002350873,0.029808279
2011,11,706257,57416,1660,0.002350419,0.028911802
2009,12,579483,52476,1313,0.002265813,0.025020962
2004,13,405023,40941,895,0.002209751,0.021860726
2007,12,504533,47861,1111,0.002202036,0.023213054
2000,14,296448,31039,633,0.002135282,0.020393698
2003,14,360019,37860,757,0.002102667,0.019994717
2005,13,435076,43559,913,0.002098484,0.020960077
2001,14,313686,32808,655,0.002088075,0.019964643
2013,11,814658,60176,1689,0.002073263,0.028067668
2010,12,641659,54592,1323,0.002061843,0.02423432
2002,14,332396,35261,685,0.002060795,0.019426562
2011,12,706257,57416,1389,0.001966706,0.024191863
2007,13,504533,47861,989,0.001960229,0.020664006
2002,15,332396,35261,648,0.001949482,0.018377244
2001,15,313686,32808,600,0.001912741,0.018288222
2008,13,538841,49784,1019,0.001891096,0.020468424
2000,15,296448,31039,555,0.001872166,0.017880731
2006,14,483322,47148,880,0.001820732,0.018664631
2006,13,483322,47148,872,0.00180418,0.018494952
2004,14,405023,40941,706,0.001743111,0.017244327
2000,16,296448,31039,512,0.001727116,0.016495377
2012,12,748658,59044,1275,0.001703047,0.021594065
2009,13,579483,52476,971,0.001675632,0.018503697
2007,14,504533,47861,832,0.00164905,0.017383674
2000,17,296448,31039,486,0.001639411,0.015657721
2001,16,313686,32808,514,0.001638581,0.015666911
2005,14,435076,43559,708,0.001627302,0.016253817
2010,13,641659,54592,1039,0.00161924,0.019032093
2002,16,332396,35261,508,0.001528298,0.014406852
2004,15,405023,40941,611,0.001508556,0.014923915
2003,15,360019,37860,543,0.001508254,0.014342314
2009,14,579483,52476,859,0.001482356,0.016369388
2008,14,538841,49784,797,0.001479101,0.01600916
2006,15,483322,47148,704,0.001456586,0.014931704
2007,15,504533,47861,729,0.001444901,0.015231608
2005,15,435076,43559,622,0.001429635,0.014279483
2011,13,706257,57416,1002,0.001418747,0.017451581
2001,17,313686,32808,440,0.001402677,0.013411363
2008,15,538841,49784,717,0.001330634,0.014402218
2005,16,435076,43559,574,0.00131931,0.013177529
2010,14,641659,54592,842,0.001312223,0.015423505
2002,17,332396,35261,434,0.001305672,0.012308216
2003,16,360019,37860,458,0.001272155,0.0120972
2000,18,296448,31039,375,0.001264977,0.012081575
2004,16,405023,40941,511,0.001261657,0.012481376
2003,17,360019,37860,438,0.001216602,0.011568938
2004,17,405023,40941,474,0.001170304,0.011577636
2006,16,483322,47148,548,0.00113382,0.011622974
2009,15,579483,52476,652,0.001125141,0.012424727
2002,18,332396,35261,368,0.001107113,0.01043646
2000,19,296448,31039,328,0.001106434,0.010567351
2003,18,360019,37860,398,0.001105497,0.010512414
2007,16,504533,47861,549,0.001088135,0.011470717
2005,17,435076,43559,469,0.001077973,0.010767006
2001,18,313686,32808,335,0.001067947,0.010210924
2008,16,538841,49784,568,0.001054114,0.011409288
2006,17,483322,47148,491,0.001015886,0.010414015
2001,19,313686,32808,307,0.000978686,0.009357474
2005,18,435076,43559,423,0.000972244,0.009710967
2001,20,313686,32808,304,0.000969122,0.009266033
2002,19,332396,35261,316,0.000950673,0.008961742
2004,18,405023,40941,385,0.000950563,0.009403776
2000,20,296448,31039,274,0.000924277,0.008827604
2007,17,504533,47861,447,0.000885968,0.009339546
