region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
Oceania,3,7011,South-eastern Asia,810,0.115532734
Oceania,3,7011,Oceania,667,0.095136215
Oceania,3,7011,Eastern Asia,594,0.084724005
Oceania,3,7011,CA,376,0.05363001
Oceania,3,7011,Middle East & North Africa,314,0.044786764
Oceania,3,7011,South Asia,204,0.029097133
Oceania,3,7011,Southern Europe,115,0.016402796
Oceania,3,7011,Central Asia & Eastern Europe,104,0.014833833
Oceania,3,7011,Latin America & Caribbean,96,0.013692769
Oceania,3,7011,Sub-Saharan Africa,76,0.010840108
Oceania,4,10050,Western & Northern Europe,3079,0.306368159
Oceania,4,10050,US,1802,0.179303483
Oceania,4,10050,South-eastern Asia,1240,0.123383085
Oceania,4,10050,Eastern Asia,1068,0.106268657
Oceania,4,10050,Oceania,819,0.081492537
Oceania,4,10050,Middle East & North Africa,571,0.05681592
Oceania,4,10050,CA,487,0.048457711
Oceania,4,10050,South Asia,404,0.040199005
Oceania,4,10050,Latin America & Caribbean,196,0.019502488
Oceania,4,10050,Southern Europe,137,0.013631841
Oceania,4,10050,Sub-Saharan Africa,130,0.012935323
Oceania,4,10050,Central Asia & Eastern Europe,117,0.011641791
Oceania,5,9784,Western & Northern Europe,2877,0.294051513
Oceania,5,9784,US,1544,0.157808667
Oceania,5,9784,Eastern Asia,1508,0.154129191
Oceania,5,9784,South-eastern Asia,1012,0.103434178
Oceania,5,9784,Oceania,798,0.081561733
Oceania,5,9784,Middle East & North Africa,589,0.060200327
Oceania,5,9784,South Asia,496,0.050695012
Oceania,5,9784,CA,417,0.042620605
Oceania,5,9784,Sub-Saharan Africa,146,0.014922322
Oceania,5,9784,Southern Europe,144,0.014717907
Oceania,5,9784,Latin America & Caribbean,129,0.013184791
Oceania,5,9784,Central Asia & Eastern Europe,124,0.012673753
South Asia,1,997,US,462,0.463390171
South Asia,1,997,Western & Northern Europe,225,0.225677031
South Asia,1,997,Eastern Asia,131,0.131394183
South Asia,1,997,Middle East & North Africa,36,0.036108325
South Asia,1,997,CA,34,0.034102307
South Asia,1,997,Oceania,25,0.025075226
South Asia,1,997,South-eastern Asia,25,0.025075226
South Asia,1,997,South Asia,25,0.025075226
South Asia,1,997,Southern Europe,19,0.019057172
South Asia,1,997,Sub-Saharan Africa,8,0.008024072
South Asia,1,997,Central Asia & Eastern Europe,5,0.005015045
South Asia,1,997,Latin America & Caribbean,2,0.002006018
South Asia,2,5878,US,2552,0.434161279
South Asia,2,5878,Western & Northern Europe,1253,0.213167744
South Asia,2,5878,Eastern Asia,813,0.138312351
South Asia,2,5878,CA,273,0.046444369
South Asia,2,5878,Oceania,240,0.040830214
South Asia,2,5878,South-eastern Asia,202,0.03436543
South Asia,2,5878,Middle East & North Africa,181,0.030792787
South Asia,2,5878,Southern Europe,153,0.026029262
South Asia,2,5878,South Asia,92,0.015651582
South Asia,2,5878,Sub-Saharan Africa,57,0.009697176
South Asia,2,5878,Latin America & Caribbean,38,0.006464784
South Asia,2,5878,Central Asia & Eastern Europe,24,0.004083021
South Asia,3,12390,US,4408,0.355770783
South Asia,3,12390,Western & Northern Europe,2538,0.204842615
South Asia,3,12390,Eastern Asia,1634,0.131880549
South Asia,3,12390,Middle East & North Africa,792,0.063922518
South Asia,3,12390,South-eastern Asia,745,0.060129136
South Asia,3,12390,Oceania,651,0.052542373
South Asia,3,12390,CA,585,0.047215496
South Asia,3,12390,Southern Europe,361,0.0291364
South Asia,3,12390,South Asia,238,0.01920904
South Asia,3,12390,Sub-Saharan Africa,212,0.017110573
South Asia,3,12390,Central Asia & Eastern Europe,121,0.00976594
South Asia,3,12390,Latin America & Caribbean,105,0.008474576
South Asia,4,22885,US,7650,0.334280096
South Asia,4,22885,Western & Northern Europe,4035,0.176316364
South Asia,4,22885,Eastern Asia,3881,0.169587066
South Asia,4,22885,Middle East & North Africa,1682,0.073497924
South Asia,4,22885,Oceania,1274,0.055669653
South Asia,4,22885,South-eastern Asia,1240,0.054183963
South Asia,4,22885,CA,1005,0.043915228
South Asia,4,22885,Sub-Saharan Africa,518,0.022634914
South Asia,4,22885,South Asia,515,0.022503823
South Asia,4,22885,Southern Europe,451,0.019707232
South Asia,4,22885,Central Asia & Eastern Europe,376,0.016429976
South Asia,4,22885,Latin America & Caribbean,258,0.01127376
South Asia,5,39322,US,14144,0.359696862
South Asia,5,39322,Western & Northern Europe,7746,0.196988963
South Asia,5,39322,Eastern Asia,5281,0.134301409
South Asia,5,39322,Middle East & North Africa,2693,0.068485835
South Asia,5,39322,Oceania,1923,0.048903921
South Asia,5,39322,South-eastern Asia,1775,0.045140125
South Asia,5,39322,CA,1730,0.043995728
South Asia,5,39322,Central Asia & Eastern Europe,1029,0.026168557
South Asia,5,39322,Southern Europe,1021,0.025965109
South Asia,5,39322,South Asia,963,0.024490107
South Asia,5,39322,Sub-Saharan Africa,696,0.017700015
South Asia,5,39322,Latin America & Caribbean,321,0.008163369
South-eastern Asia,1,578,US,193,0.333910035
South-eastern Asia,1,578,Western & Northern Europe,138,0.238754325
South-eastern Asia,1,578,Eastern Asia,119,0.205882353
South-eastern Asia,1,578,Oceania,52,0.089965398
South-eastern Asia,1,578,CA,31,0.053633218
South-eastern Asia,1,578,South-eastern Asia,13,0.022491349
South-eastern Asia,1,578,South Asia,12,0.020761246
South-eastern Asia,1,578,Middle East & North Africa,9,0.015570934
South-eastern Asia,1,578,Southern Europe,5,0.008650519
South-eastern Asia,1,578,Sub-Saharan Africa,3,0.005190311
South-eastern Asia,1,578,Latin America & Caribbean,2,0.003460208
South-eastern Asia,1,578,Central Asia & Eastern Europe,1,0.001730104
South-eastern Asia,2,2950,US,791,0.268135593
South-eastern Asia,2,2950,Eastern Asia,719,0.243728814
South-eastern Asia,2,2950,Western & Northern Europe,633,0.214576271
South-eastern Asia,2,2950,Oceania,289,0.097966102
South-eastern Asia,2,2950,South-eastern Asia,172,0.058305085
South-eastern Asia,2,2950,CA,116,0.039322034
South-eastern Asia,2,2950,South Asia,90,0.030508475
South-eastern Asia,2,2950,Middle East & North Africa,69,0.023389831
South-eastern Asia,2,2950,Sub-Saharan Africa,24,0.008135593
South-eastern Asia,2,2950,Southern Europe,19,0.006440678
South-eastern Asia,2,2950,Central Asia & Eastern Europe,18,0.006101695
South-eastern Asia,2,2950,Latin America & Caribbean,10,0.003389831
South-eastern Asia,3,6226,Eastern Asia,1323,0.212495985
South-eastern Asia,3,6226,Western & Northern Europe,1261,0.202537745
South-eastern Asia,3,6226,US,1146,0.184066817
South-eastern Asia,3,6226,Oceania,660,0.106007067
South-eastern Asia,3,6226,Middle East & North Africa,595,0.095566977
South-eastern Asia,3,6226,South-eastern Asia,511,0.082075169
South-eastern Asia,3,6226,South Asia,299,0.048024414
South-eastern Asia,3,6226,CA,171,0.027465467
South-eastern Asia,3,6226,Central Asia & Eastern Europe,87,0.013973659
South-eastern Asia,3,6226,Sub-Saharan Africa,78,0.012528108
South-eastern Asia,3,6226,Southern Europe,73,0.011725024
South-eastern Asia,3,6226,Latin America & Caribbean,22,0.003533569
South-eastern Asia,4,12177,Eastern Asia,2827,0.232158988
South-eastern Asia,4,12177,Western & Northern Europe,2084,0.171142317
South-eastern Asia,4,12177,US,1549,0.12720703
South-eastern Asia,4,12177,Middle East & North Africa,1421,0.116695409
South-eastern Asia,4,12177,South-eastern Asia,1162,0.095425803
South-eastern Asia,4,12177,Oceania,1140,0.093619118
South-eastern Asia,4,12177,South Asia,928,0.076209247
South-eastern Asia,4,12177,Sub-Saharan Africa,363,0.029810298
South-eastern Asia,4,12177,Central Asia & Eastern Europe,265,0.021762339
South-eastern Asia,4,12177,CA,252,0.020694752
South-eastern Asia,4,12177,Southern Europe,134,0.011004352
South-eastern Asia,4,12177,Latin America & Caribbean,52,0.004270346
South-eastern Asia,5,17730,Eastern Asia,4315,0.243372814
South-eastern Asia,5,17730,Western & Northern Europe,2867,0.161703328
South-eastern Asia,5,17730,South-eastern Asia,2140,0.12069938
South-eastern Asia,5,17730,US,1875,0.105752961
South-eastern Asia,5,17730,South Asia,1775,0.100112803
South-eastern Asia,5,17730,Middle East & North Africa,1634,0.09216018
